CustomerID,Recency,Frequency,Monetary,UniqueProducts,TotalItems,AvgOrderValue,TenureDays
12346,326,1,77183.6,1,74215,77183.6,326
12347,2,7,4310.0,103,2458,615.7142857142857,367
12348,75,4,1797.24,22,2341,449.31,358
12349,19,1,1757.55,73,631,1757.55,19
12350,310,1,334.4,17,197,334.4,310
12352,36,8,2506.04,59,536,313.255,297
12353,204,1,89.0,4,20,89.0,204
12354,232,1,1079.4,58,530,1079.4,232
12355,214,1,459.4,13,240,459.4,214
12356,23,3,2811.43,53,1591,937.1433333333333,326
12357,33,1,6207.67,131,2708,6207.67,33
12358,2,2,1168.06,13,248,584.03,151
12359,58,4,6372.58,214,1622,1593.145,332
12360,52,3,2662.06,105,1165,887.3533333333334,201
12361,287,1,189.9,10,91,189.9,287
12362,3,10,5226.23,201,2229,522.6229999999999,296
12363,110,2,552.0,23,408,276.0,242
12364,8,4,1313.1,70,1506,328.275,112
12365,291,2,641.38,22,174,320.69,291
12367,4,1,168.9,11,173,168.9,4
12370,51,4,3545.69,143,2353,886.4225,360
12371,45,2,1887.96,63,591,943.98,60
12372,72,3,1298.04,34,794,432.68,297
12373,311,1,364.6,14,197,364.6,311
12374,25,1,742.9300000000001,33,342,742.9300000000001,25
12375,11,2,457.5,14,178,228.75,98
12377,315,2,1628.12,72,944,814.06,355
12378,130,1,4008.62,219,2529,4008.62,130
12379,82,2,852.24,39,407,426.12,170
12380,22,4,2724.81,77,1127,681.2025,186
12381,5,5,1845.31,70,808,369.062,120
12383,185,5,1850.56,84,1532,370.11199999999997,352
12384,29,2,585.27,26,126,292.635,122
12386,338,2,401.9,10,354,200.95,367
12388,16,6,2780.66,57,1462,463.4433333333333,327
12390,80,1,549.84,32,353,549.84,80
12391,22,1,460.89,92,300,460.89,22
12393,72,4,1582.6000000000001,47,816,395.65000000000003,333
12394,64,2,1272.48,26,819,636.24,217
12395,19,12,3018.63,91,2118,251.5525,371
12397,36,2,2409.9,110,1263,1204.95,135
12398,46,1,1635.6599999999999,85,1394,1635.6599999999999,46
12399,119,4,1108.65,47,1178,277.1625,262
12401,303,1,84.3,5,11,84.3,303
12402,323,1,225.6,11,94,225.6,323
12403,50,1,427.7,5,96,427.7,50
12405,149,1,1710.39,54,857,1710.39,149
12406,22,2,3415.3,92,1818,1707.65,184
12407,50,5,1708.1200000000001,57,1416,341.624,264
12408,33,5,2888.55,81,1409,577.71,260
