CustomerID,Recency,Frequency,Monetary,UniqueProducts,TotalItems,AvgOrderValue,TenureDays,Cluster
12346,326,1,77183.6,1,74215,77183.6,326,3
12347,2,7,4310.0,103,2458,615.7142857142857,367,3
12348,75,4,1797.24,22,2341,449.31,358,0
12349,19,1,1757.55,73,631,1757.55,19,0
12350,310,1,334.4,17,197,334.4,310,2
12352,36,8,2506.04,59,536,313.255,297,3
12353,204,1,89.0,4,20,89.0,204,2
12354,232,1,1079.4,58,530,1079.4,232,0
12355,214,1,459.4,13,240,459.4,214,2
12356,23,3,2811.43,53,1591,937.1433333333332,326,3
12357,33,1,6207.67,131,2708,6207.67,33,0
12358,2,2,1168.06,13,248,584.03,151,0
12359,58,4,6372.58,214,1622,1593.145,332,3
12360,52,3,2662.06,105,1165,887.3533333333334,201,0
12361,287,1,189.9,10,91,189.9,287,2
12362,3,10,5226.23,201,2229,522.6229999999999,296,3
12363,110,2,552.0,23,408,276.0,242,0
12364,8,4,1313.1,70,1506,328.275,112,0
12365,291,2,641.38,22,174,320.69,291,2
12367,4,1,168.9,11,173,168.9,4,1
12370,51,4,3545.69,143,2353,886.4225,360,3
12371,45,2,1887.96,63,591,943.98,60,0
12372,72,3,1298.04,34,794,432.68,297,0
12373,311,1,364.6,14,197,364.6,311,2
12374,25,1,742.9300000000001,33,342,742.9300000000001,25,1
12375,11,2,457.5,14,178,228.75,98,1
12377,315,2,1628.12,72,944,814.06,355,0
12378,130,1,4008.62,219,2529,4008.62,130,0
12379,82,2,852.24,39,407,426.12,170,0
12380,22,4,2724.81,77,1127,681.2025,186,0
12381,5,5,1845.31,70,808,369.062,120,0
12383,185,5,1850.56,84,1532,370.112,352,3
12384,29,2,585.27,26,126,292.635,122,1
12386,338,2,401.9,10,354,200.95,367,2
12388,16,6,2780.66,57,1462,463.4433333333333,327,3
12390,80,1,549.84,32,353,549.84,80,1
12391,22,1,460.89,92,300,460.89,22,1
12393,72,4,1582.6,47,816,395.65,333,0
12394,64,2,1272.48,26,819,636.24,217,0
12395,19,12,3018.63,91,2118,251.5525,371,3
12397,36,2,2409.9,110,1263,1204.95,135,0
12398,46,1,1635.66,85,1394,1635.66,46,0
12399,119,4,1108.65,47,1178,277.1625,262,0
12401,303,1,84.3,5,11,84.3,303,2
12402,323,1,225.6,11,94,225.6,323,2
12403,50,1,427.7,5,96,427.7,50,1
12405,149,1,1710.39,54,857,1710.39,149,0
12406,22,2,3415.3,92,1818,1707.65,184,0
12407,50,5,1708.12,57,1416,341.624,264,0
12408,33,5,2888.55,81,1409,577.71,260,3
12409,79,3,11072.67,91,5551,3690.89,183,3
12410,309,2,693.3299999999999,26,211,346.665,309,2
12412,75,3,1226.88,43,829,408.96,169,0
12413,67,3,758.1,29,286,252.7,337,0
12414,217,3,562.41,16,300,187.47,310,2
12415,24,21,124914.53,444,77374,5948.310952380953,338,3
12417,3,9,3649.1,158,1552,405.4555555555555,358,3
12418,113,1,668.58,34,407,668.58,113,0
12420,64,1,600.39,29,345,600.39,64,1
12421,16,4,807.04,32,484,201.76,319,0
12422,96,3,803.5600000000001,39,370,267.8533333333333,325,0
12423,1,8,1859.31,97,1339,232.41375,354,3
12424,163,2,1760.96,30,740,880.48,163,0
12425,78,1,777.2,36,496,777.2,78,0
12426,195,1,582.73,30,258,582.73,195,0
12427,22,3,825.8,26,533,275.26666666666665,372,0
12428,26,9,7956.46,258,3536,884.0511111111111,284,3
12429,9,4,3750.4,82,1557,937.6,366,3
12430,43,1,256.4,11,117,256.4,43,1
12431,36,15,6487.45,163,2906,432.4966666666666,374,3
12432,43,5,5059.32,107,1801,1011.864,172,3
12433,1,7,13375.87,219,11071,1910.838571428572,373,3
12434,85,2,806.14,46,394,403.07,260,0
12435,80,2,7829.89,31,2055,3914.945,268,3
12436,100,1,509.01,16,211,509.01,100,1
12437,2,18,4951.41,118,2922,275.0783333333333,331,3
12438,14,2,2906.85,84,1180,1453.425,140,0
12441,367,1,173.55,11,121,173.55,367,2
12442,3,1,172.06,12,182,172.06,3,1
12444,21,5,5005.46,138,1153,1001.092,171,3
12445,22,1,133.4,4,62,133.4,22,1
12446,58,1,1002.31,57,351,1002.31,58,0
12447,243,1,476.49,26,190,476.49,243,2
12448,44,1,449.45,22,243,449.45,44,1
12449,22,4,4067.29,118,1553,1016.8225,187,3
12450,156,2,197.88,7,128,98.94,173,2
12451,11,5,9035.52,265,6575,1807.104,325,3
12452,17,2,430.57,21,185,215.285,17,1
12453,134,1,707.09,43,473,707.09,134,0
12454,56,1,3528.34,15,1006,3528.34,56,0
12455,73,6,2466.86,85,2089,411.1433333333334,297,3
12456,44,3,3181.04,105,1633,1060.3466666666666,255,3
12457,66,7,2363.23,53,843,337.6042857142857,239,0
12458,71,2,947.4,35,506,473.7,285,0
12461,94,2,826.88,35,287,413.44,155,0
12462,19,2,1189.59,51,536,594.795,303,0
12463,53,4,1344.78,65,776,336.195,242,0
12464,10,8,1212.05,6,112,151.50625,309,0
12465,17,2,742.1899999999999,46,479,371.095,169,0
12468,188,2,729.5400000000001,36,366,364.77,316,0
12471,2,30,19824.05,150,8212,660.8016666666666,365,3
12472,32,7,6572.11,219,4148,938.8728571428572,369,3
12473,29,5,3938.55,140,2439,787.7099999999999,192,3
12474,17,18,7375.79,253,4847,409.7661111111111,330,3
12475,54,1,723.38,36,535,723.38,54,0
12476,16,11,6816.42,177,2408,619.6745454545454,361,3
12477,23,6,13219.74,191,3653,2203.29,302,3
12478,4,1,680.99,36,236,680.99,4,1
12479,11,1,527.2,31,385,527.2,11,1
12480,28,4,3281.63,129,1707,820.4075,336,3
12481,23,10,5596.32,150,3304,559.632,366,3
12483,17,8,2484.98,46,1110,310.6225,339,3
12484,33,6,4541.72,256,2191,756.9533333333334,336,3
12488,10,3,1298.66,46,529,432.8866666666667,76,0
12489,336,1,334.93,15,105,334.93,336,2
12490,5,10,5417.93,131,3064,541.793,330,3
12491,39,1,460.4,25,260,460.4,39,1
12492,63,2,263.21000000000004,19,192,131.60500000000002,105,1
12493,166,2,433.74,20,207,216.87,197,2
12494,16,7,1246.1,63,707,178.01428571428573,366,3
12497,82,1,1043.1,14,1236,1043.1,82,0
12498,21,3,403.7000000000001,21,159,134.5666666666667,58,1
12500,23,11,4257.82,34,2678,387.07454545454544,334,3
12501,337,1,2169.39,149,1783,2169.39,337,0
12502,96,5,3723.87,102,820,744.774,310,3
12504,18,2,482.05,6,90,241.025,30,1
12506,233,1,73.5,23,23,73.5,233,2
12507,134,3,1304.81,19,894,434.93666666666667,299,0
12508,26,2,398.27,57,272,199.135,29,1
12509,284,1,176.5,7,55,176.5,284,2
12510,143,2,982.57,29,353,491.285,325,0
12512,66,2,138.03,31,99,69.015,66,1
12513,113,1,612.29,35,462,612.29,113,0
12514,267,1,1017.68,51,440,1017.68,267,0
12515,353,1,383.7,16,131,383.7,353,2
12516,78,2,1312.06,20,875,656.03,181,0
12517,28,5,2502.84,232,1371,500.568,190,3
12518,1,5,2056.89,84,1318,411.378,110,0
12519,64,1,340.84,17,183,340.84,64,1
12520,79,5,2634.26,121,1439,526.8520000000001,274,3
12521,143,1,599.68,38,309,599.68,143,0
12522,39,2,192.72,11,194,96.36,51,1
12523,19,11,1789.77,84,865,162.70636363636365,332,3
12524,9,8,4485.72,113,3699,560.715,334,3
12526,1,3,1316.66,64,632,438.8866666666667,94,0
12527,82,3,348.71000000000004,18,234,116.23666666666668,326,2
12528,9,6,1933.48,50,756,322.24666666666667,313,0
12530,60,4,1662.28,51,913,415.57,337,0
12531,15,1,125.22,17,45,125.22,15,1
12532,30,1,349.83000000000004,16,153,349.83000000000004,30,1
12534,131,1,1089.18,63,651,1089.18,131,0
12535,92,2,716.35,28,219,358.175,187,0
12536,43,3,12601.830000000002,260,2803,4200.610000000001,59,3
